created_at,user,text_clean,text_preprocessed
2022-04-18 03:32:08+00:00,Polres Bojonegoro,polsek temayang pantau harga sembako dan minyak goreng di pasar tradisional,"['polsek', 'tayang', 'pantau', 'harga', 'sembako', 'minyak', 'goreng', 'pasar', 'tradisional']"
2022-04-18 03:31:42+00:00,Catut Sana Catut Sini. .. Ijin Copaste..🙏,apakah saatnya rakyat turun ke ladangxcxb sawit cina untuk membakarnyannharga minyak goreng pecah rekor tembus rpn,"['rakyat', 'turun', 'ladangxcxb', 'sawit', 'cina', 'membakarnyannharga', 'minyak', 'goreng', 'pecah', 'rekor', 'tembus', 'rpn']"
2022-04-18 03:31:38+00:00,humaspolreskaro,bhabinkamtibmas melaksanakan pengecekan dan monitor stock minyak goreng di kab karonntanahkaro,"['bhabinkamtibmas', 'laksana', 'kece', 'monitor', 'stock', 'minyak', 'goreng', 'kab', 'karonntanahkaro']"
2022-04-18 03:31:36+00:00,Era Order Baru,di all market  minyak gorengnharga  liter dibanderolxcxarpnrp per  liternkemasan  liter dijual dengan harga rprpn turun bubar dah semuanya  migor lebih dr bbm  psti permainan bursa saham ini gelooookn,"['all', 'market', 'minyak', 'gorengnharga', 'liter', 'dibanderolxcxarpnrp', 'liternkemasan', 'liter', 'jual', 'harga', 'rprpn', 'turun', 'bubar', 'dah', 'migor', 'dr', 'bbm', 'psti', 'main', 'bursa', 'saham', 'gelooookn']"
2022-04-18 03:31:14+00:00,Amelia ayu putri,kemenkeu blt minyak goreng untuk jaga daya beli masyarakat miskin,"['kemenkeu', 'blt', 'minyak', 'goreng', 'jaga', 'daya', 'beli', 'masyarakat', 'miskin']"
2022-04-18 03:31:11+00:00,Indah,ayo percaya jokowinn sediakan minyak goreng bersubsidi,"['ayo', 'percaya', 'jokowinn', 'sedia', 'minyak', 'goreng', 'subsidi']"
2022-04-18 03:31:05+00:00,Amelia ayu putri,siapsiap blt minyak goreng cair minggu depan lewat kantor pos,"['siapsiap', 'blt', 'minyak', 'goreng', 'cair', 'minggu', 'kantor', 'pos']"
2022-04-18 03:31:02+00:00,Wikasalim,warga pidie terima sembako dan uang minyak goreng ayo percaya jokowi,"['warga', 'pidie', 'terima', 'sembako', 'uang', 'minyak', 'goreng', 'ayo', 'percaya', 'jokowi']"
2022-04-18 03:30:54+00:00,Kenzo Baruki,ytan  bhn baku sawit banyak di gunakan sbg sumber daya terbarukan seyogyanya utk minyak goreng pki bhn baku kelapa ajaagar hrg jualnya tdk tinggi,"['ytan', 'bhn', 'baku', 'sawit', 'sbg', 'sumber', 'daya', 'baru', 'seyogyanya', 'utk', 'minyak', 'goreng', 'pki', 'bhn', 'baku', 'kelapa', 'ajaagar', 'hrg', 'jual', 'tdk']"
2022-04-18 03:30:43+00:00,Wikasalim,warga pandeglang bakal dapat blt minyak goreng ayo percaya jokowi,"['warga', 'pandeglang', 'blt', 'minyak', 'goreng', 'ayo', 'percaya', 'jokowi']"
2022-04-18 03:30:22+00:00,Provinsi Jawa Tengah #ElingLanNgelingke,lebih dari  ribu kpm di klaten terima blt minyak goreng,"['ribu', 'kpm', 'klaten', 'terima', 'blt', 'minyak', 'goreng']"
2022-04-18 03:28:43+00:00,Setyo pambudi luhung,lha iki piye to menungso kok dipadakno minyak goreng jenenge wong nek wes lepas kontrak ya dee bebas ape kerjo opo utowo ape pindah nangndi lha kok akeh seng baper lha wong ape angon sapi ae yo oleh kok,"['lha', 'iki', 'piye', 'to', 'menungso', 'dipadakno', 'minyak', 'goreng', 'jenenge', 'nek', 'wes', 'lepas', 'kontrak', 'ya', 'dee', 'bebas', 'ape', 'kerjo', 'opo', 'utowo', 'ape', 'pindah', 'nangndi', 'lha', 'akeh', 'seng', 'baper', 'lha', 'ape', 'angon', 'sapi', 'ae', 'yo']"
2022-04-18 03:28:19+00:00,Kecamatan Sliyeg,penyaluran blt minyak goreng terintegrasi vaksinasi di seluruh desa se kecamatan sliyegnmulai dari  april  sampai dengan  april nn nn,"['salur', 'blt', 'minyak', 'goreng', 'integrasi', 'vaksinasi', 'desa', 'camat', 'sliyegnmulai', 'april', 'april', 'nn', 'nn']"
2022-04-18 03:28:15+00:00,𝓡𝓪𝓭𝓮𝓷 𝓚𝓪𝓷𝓰 𝓜𝓪𝓼,minyak goreng  drum,"['minyak', 'goreng', 'drum']"
2022-04-18 03:26:29+00:00,Jawa Pos Radar Solo,kepala dinas perdagangan disdag kota surakarta heru sunardi menjelaskan sudah mendistribusikan  liter minyak goreng curah para pedagang yang mendapatkan stok diminta menjual dengan harga eceran tertinggi hetn  n,"['kepala', 'dinas', 'dagang', 'disdag', 'kota', 'surakarta', 'heru', 'sunardi', 'distribusi', 'liter', 'minyak', 'goreng', 'curah', 'dagang', 'stok', 'jual', 'harga', 'ecer', 'tinggi', 'hetn', 'n']"
2022-04-18 03:25:04+00:00,Dari Papua Untuk Indonesia,minyak goreng posisinya sampai mei perkirakan masih surplus sekitar  liter,"['minyak', 'goreng', 'posisi', 'mei', 'kira', 'surplus', 'liter']"
